# Time, Phi
1.369369369369369416e+01,1.663777499923938752e+00
1.377377377377377421e+01,1.699952180304355576e+00
1.385385385385385426e+01,1.736000289638033323e+00
1.393393393393393431e+01,1.771605574481500023e+00
1.401401401401401436e+01,1.806463739658682677e+00
1.409409409409409442e+01,1.840285170139459359e+00
1.417417417417417447e+01,1.872797443308827248e+00
1.425425425425425452e+01,1.903747611788215277e+00
1.433433433433433457e+01,1.932904239707662786e+00
1.441441441441441462e+01,1.960059178168770400e+00
1.449449449449449467e+01,1.985029068552873310e+00
1.457457457457457473e+01,2.007656565286320305e+00
1.465465465465465478e+01,2.027811272644859386e+00
1.473473473473473483e+01,2.045390393132191065e+00
1.481481481481481488e+01,2.060319087875135846e+00
1.489489489489489493e+01,2.072550552311781757e+00
1.497497497497497498e+01,2.082065813183352265e+00
1.505505505505505504e+01,2.088873255450549582e+00
1.513513513513513509e+01,2.093007890218092637e+00
1.521521521521521514e+01,2.094530377046181613e+00
1.529529529529529519e+01,2.093525816135987760e+00
1.537537537537537524e+01,2.090102327781647951e+00
1.545545545545545529e+01,2.084389438169588882e+00
1.553553553553553535e+01,2.076536292065807032e+00
1.561561561561561540e+01,2.066709714154015387e+00
1.569569569569569545e+01,2.055092141765844538e+00
1.577577577577577550e+01,2.041879452474776535e+00
1.585585585585585555e+01,2.027278710506748016e+00
1.593593593593593560e+01,2.011505856153639193e+00
1.601601601601601743e+01,1.994783362364732193e+00
1.609609609609609748e+01,1.977337882441509986e+00
1.617617617617617753e+01,1.959397912281141130e+00
1.625625625625625759e+01,1.941191489913738355e+00
1.633633633633633764e+01,1.922943954170212022e+00
1.641641641641641769e+01,1.904875783215128626e+00
1.649649649649649774e+01,1.887200532397975694e+00
1.657657657657657779e+01,1.870122889433440738e+00
1.665665665665665784e+01,1.853836863334923812e+00
1.673673673673673790e+01,1.838524121814520962e+00
1.681681681681681795e+01,1.824352490047008946e+00
1.689689689689689800e+01,1.811474621795404749e+00
1.697697697697697805e+01,1.800026851932156058e+00
1.705705705705705810e+01,1.790128237383899146e+00
1.713713713713713815e+01,1.781879791499790144e+00
1.721721721721721821e+01,1.775363914814261701e+00
1.729729729729729826e+01,1.770644023164698933e+00
1.737737737737737831e+01,1.767764372152429653e+00
1.745745745745745836e+01,1.766750075020104838e+00
1.753753753753753841e+01,1.767607309177630315e+00
1.761761761761761846e+01,1.770323704858662639e+00
1.769769769769769852e+01,1.774868907745470459e+00
1.777777777777777857e+01,1.781195305875397317e+00
1.785785785785785862e+01,1.789238909749467643e+00
1.793793793793793867e+01,1.798920373313467325e+00
1.801801801801801872e+01,1.810146142383093126e+00
1.809809809809809877e+01,1.822809716144733638e+00
1.817817817817817883e+01,1.836793006587647659e+00
1.825825825825825888e+01,1.851967780115512774e+00
1.833833833833833893e+01,1.868197165147539529e+00
1.841841841841841898e+01,1.885337209251849444e+00
