# Time, Phi
3.443443443443443552e+00,-7.474379150095343816e-01
3.463463463463463565e+00,-6.680444893411946472e-01
3.483483483483483578e+00,-5.881900776200464920e-01
3.503503503503503591e+00,-5.079254553461607369e-01
3.523523523523523604e+00,-4.273014069082536892e-01
3.543543543543543617e+00,-3.463686940231446298e-01
3.563563563563563630e+00,-2.651780243405360560e-01
3.583583583583583643e+00,-1.837800202318425891e-01
3.603603603603603656e+00,-1.022251877815051335e-01
3.623623623623623669e+00,-2.056388599908187675e-02
3.643643643643643681e+00,6.115370372980633018e-02
3.663663663663663694e+00,1.428776079359243001e-01
3.683683683683683707e+00,2.245580910846493028e-01
3.703703703703703720e+00,3.061456853026972014e-01
3.723723723723723733e+00,3.875912197962568806e-01
3.743743743743743746e+00,4.688458499438082350e-01
3.763763763763763759e+00,5.498610860471067063e-01
3.783783783783783772e+00,6.305888217241072402e-01
3.803803803803803785e+00,7.109813619279764518e-01
3.823823823823823798e+00,7.909914505765596182e-01
3.843843843843843811e+00,8.705722977770509186e-01
3.863863863863863823e+00,9.496776066308767472e-01
3.883883883883883836e+00,1.028261599604221477e+00
3.903903903903903849e+00,1.106279044449873794e+00
3.923923923923923862e+00,1.183685279666488732e+00
3.943943943943943875e+00,1.260436239481644183e+00
3.963963963963963888e+00,1.336488478345522868e+00
3.983983983983983901e+00,1.411799194922338962e+00
4.004004004004004358e+00,1.486326255567013366e+00
4.024024024024024371e+00,1.560028217275037266e+00
4.044044044044044384e+00,1.632864350093780281e+00
4.064064064064064397e+00,1.704794658983922684e+00
4.084084084084084409e+00,1.775779905120086655e+00
4.104104104104104422e+00,1.845781626620142557e+00
4.124124124124124435e+00,1.914762158693039895e+00
4.144144144144144448e+00,1.982684653195483371e+00
4.164164164164164461e+00,2.049513097588138599e+00
4.184184184184184474e+00,2.115212333282456392e+00
4.204204204204204487e+00,2.179748073369701444e+00
4.224224224224224500e+00,2.243086919724106565e+00
4.244244244244244513e+00,2.305196379472558732e+00
4.264264264264264526e+00,2.366044880823619856e+00
4.284284284284284539e+00,2.425601788249144963e+00
4.304304304304304551e+00,2.483837417012172644e+00
4.324324324324324564e+00,2.540723047035215565e+00
4.344344344344344577e+00,2.596230936103482989e+00
4.364364364364364590e+00,2.650334332398057935e+00
4.384384384384384603e+00,2.703007486354462863e+00
4.404404404404404616e+00,2.754225661842454098e+00
4.424424424424424629e+00,2.803965146663408348e+00
4.444444444444444642e+00,2.852203262362024816e+00
4.464464464464464655e+00,2.898918373349563371e+00
4.484484484484484668e+00,2.944089895336230001e+00
4.504504504504504681e+00,2.987698303070818184e+00
4.524524524524524693e+00,3.029725137386119371e+00
4.544544544544544706e+00,3.070153011549027422e+00
4.564564564564564719e+00,3.108965616914771246e+00
4.584584584584584732e+00,3.146147727885078904e+00
4.604604604604604745e+00,3.181685206170541402e+00
4.624624624624624758e+00,3.215565004357853418e+00
4.644644644644644771e+00,3.247775168783068711e+00
4.664664664664664784e+00,3.278304841712405882e+00
4.684684684684684797e+00,3.307144262832558024e+00
4.704704704704704810e+00,3.334284770052909685e+00
4.724724724724724823e+00,3.359718799622458896e+00
4.744744744744744835e+00,3.383439885564642147e+00
4.764764764764764848e+00,3.405442658433691872e+00
4.784784784784784861e+00,3.425722843396561856e+00
4.804804804804804874e+00,3.444277257644817514e+00
4.824824824824824887e+00,3.461103807141340916e+00
4.844844844844844900e+00,3.476201482707015789e+00
4.864864864864864913e+00,3.489570355453034622e+00
4.884884884884884926e+00,3.501211571564759151e+00
4.904904904904904939e+00,3.511127346443488673e+00
4.924924924924924952e+00,3.519320958212870387e+00
4.944944944944944965e+00,3.525796740596992329e+00
4.964964964964964977e+00,3.530560075177619161e+00
4.984984984984984990e+00,3.533617383038331283e+00
5.005005005005005003e+00,3.534976115803706520e+00
5.025025025025025016e+00,3.534644746081995414e+00
5.045045045045045029e+00,3.532632757320073758e+00
5.065065065065065042e+00,3.528950633079805943e+00
5.085085085085085055e+00,3.523609845745224955e+00
5.105105105105105068e+00,3.516622844670273640e+00
5.125125125125125081e+00,3.508003043777145447e+00
5.145145145145145094e+00,3.497764808615550614e+00
5.165165165165165106e+00,3.485923442893519741e+00
5.185185185185185119e+00,3.472495174490643599e+00
5.205205205205205132e+00,3.457497140964899796e+00
5.225225225225225145e+00,3.440947374564487848e+00
5.245245245245245158e+00,3.422864786756356192e+00
5.265265265265265171e+00,3.403269152283326271e+00
5.285285285285285184e+00,3.382181092761973318e+00
5.305305305305305197e+00,3.359622059833636154e+00
5.325325325325325210e+00,3.335614317881160584e+00
5.345345345345345223e+00,3.310180926324180817e+00
5.365365365365365236e+00,3.283345721505940062e+00
5.385385385385385248e+00,3.255133298184851753e+00
5.405405405405405261e+00,3.225568990644186229e+00
5.425425425425425274e+00,3.194678853433421839e+00
5.445445445445445287e+00,3.162489641754990366e+00
5.465465465465465300e+00,3.129028791510273244e+00
5.485485485485485313e+00,3.094324399018881788e+00
5.505505505505505326e+00,3.058405200425355019e+00
5.525525525525525339e+00,3.021300550807551666e+00
5.545545545545545352e+00,2.983040403001153695e+00
5.565565565565565365e+00,2.943655286154749362e+00
5.585585585585585378e+00,2.903176284030118293e+00
5.605605605605605390e+00,2.861635013062390875e+00
5.625625625625625403e+00,2.819063600194858576e+00
5.645645645645645416e+00,2.775494660503262878e+00
5.665665665665665429e+00,2.730961274624443824e+00
5.685685685685685442e+00,2.685496966004329966e+00
5.705705705705705455e+00,2.639135677980208428e+00
5.725725725725725468e+00,2.591911750712316387e+00
5.745745745745745481e+00,2.543859897979788176e+00
5.765765765765765494e+00,2.495015183856002405e+00
5.785785785785785507e+00,2.445412999278382848e+00
5.805805805805805520e+00,2.395089038527694392e+00
5.825825825825825532e+00,2.344079275631862025e+00
5.845845845845845545e+00,2.292419940709335080e+00
5.865865865865865558e+00,2.240147496266937210e+00
5.885885885885885571e+00,2.187298613467137720e+00
5.905905905905905584e+00,2.133910148379642990e+00
5.925925925925925597e+00,2.080019118232075304e+00
5.945945945945945610e+00,2.025662677674518353e+00
5.965965965965965623e+00,1.970878095072559733e+00
5.985985985985985636e+00,1.915702728843445168e+00
6.006006006006005649e+00,1.860174003849777158e+00
6.026026026026025662e+00,1.804329387865149847e+00
6.046046046046045674e+00,1.748206368126000720e+00
6.066066066066065687e+00,1.691842427983772268e+00
6.086086086086085700e+00,1.635275023671426631e+00
6.106106106106105713e+00,1.578541561198155474e+00
6.126126126126125726e+00,1.521679373386042311e+00
6.146146146146145739e+00,1.464725697062205789e+00
6.166166166166165752e+00,1.407717650419852085e+00
6.186186186186185765e+00,1.350692210561489137e+00
6.206206206206205778e+00,1.293686191237328975e+00
6.226226226226225791e+00,1.236736220791789798e+00
6.246246246246245803e+00,1.179878720330755248e+00
6.266266266266265816e+00,1.123149882122120635e+00
6.286286286286285829e+00,1.066585648241864304e+00
6.306306306306305842e+00,1.010221689477742046e+00
6.326326326326325855e+00,9.540933845024764937e-01
6.346346346346345868e+00,8.982357993280334352e-01
6.366366366366365881e+00,8.426836670524219253e-01
6.386386386386385894e+00,7.874713679101561503e-01
6.406406406406405907e+00,7.326329096373377370e-01
6.426426426426426808e+00,6.782019081619916623e-01
6.446446446446446821e+00,6.242115686301192845e-01
6.466466466466466834e+00,5.706946667775856241e-01
6.486486486486486847e+00,5.176835306578094764e-01
6.506506506506506859e+00,4.652100227348103800e-01
6.526526526526526872e+00,4.133055223510557763e-01
6.546546546546546885e+00,3.620009085790947267e-01
6.566566566566566898e+00,3.113265434658945008e-01
6.586586586586586911e+00,2.613122556782725425e-01
6.606606606606606924e+00,2.119873245577521548e-01
6.626626626626626937e+00,1.633804645927295907e-01
6.646646646646646950e+00,1.155198103155558043e-01
6.666666666666666963e+00,6.843290163193715969e-02
6.686686686686686976e+00,2.214666958965083587e-02
6.706706706706706989e+00,-2.331257740673586820e-02
6.726726726726727001e+00,-6.791916692865107574e-02
6.746746746746747014e+00,-1.116480753977507900e-01
6.766766766766767027e+00,-1.544749404958281058e-01
6.786786786786787040e+00,-1.963760731048503905e-01
6.806806806806807053e+00,-2.373284687720587094e-01
6.826826826826827066e+00,-2.773098186952167588e-01
6.846846846846847079e+00,-3.162985202235198967e-01
6.866866866866867092e+00,-3.542736868700038233e-01
6.886886886886887105e+00,-3.912151578315157252e-01
6.906906906906907118e+00,-4.271035070127423561e-01
6.926926926926927131e+00,-4.619200515510869520e-01
6.946946946946947143e+00,-4.956468598394512259e-01
6.966966966966967156e+00,-5.282667590443743677e-01
6.986986986986987169e+00,-5.597633421173133783e-01
7.007007007007007182e+00,-5.901209742970812133e-01
7.027027027027027195e+00,-6.193247991018895338e-01
7.047047047047047208e+00,-6.473607438097310762e-01
7.067067067067067221e+00,-6.742155244261081037e-01
7.087087087087087234e+00,-6.998766501385378369e-01
7.107107107107107247e+00,-7.243324272574855893e-01
7.127127127127127260e+00,-7.475719626437604681e-01
7.147147147147147273e+00,-7.695851666227220278e-01
7.167167167167167285e+00,-7.903627553859167154e-01
7.187187187187187298e+00,-8.098962528811355366e-01
7.207207207207207311e+00,-8.281779921921734733e-01
7.227227227227227324e+00,-8.452011164098613971e-01
7.247247247247247337e+00,-8.609595789962778412e-01
7.267267267267267350e+00,-8.754481436443610765e-01
7.287287287287287363e+00,-8.886623836353915173e-01
7.307307307307307376e+00,-9.005986806971892911e-01
7.327327327327327389e+00,-9.112542233660931856e-01
7.347347347347347402e+00,-9.206270048561397967e-01
7.367367367367367414e+00,-9.287158204391225969e-01
